classical_concept,modern_anchor,PHS,PCS,E_c,CMS,G,CMS_exact
肝肾阴虚证,Osteoporosis,0.1667,0.771,0.1969,0.0923,0,0.0
肝肾阴虚证,Age-related osteoporosis context,0.2,0.5515,0.1969,0.074,1,0.074
肝肾阴虚证,Postmenopausal osteoporosis context,0.1723,0.5663,0.1969,0.0727,1,0.0727
肝肾阴虚证,Pregnancy/lactation-associated osteoporosis context,0.145,0.3585,0.1969,0.0496,1,0.0496
肝肾阴虚证,Fragility fracture,0.0404,0.0,0.1969,0.004,1,0.004
肝肾阴虚证,Vertebral fragility fracture,0.0806,0.0,0.1969,0.0079,1,0.0079
肝肾阴虚证,Functional impairment,0.1569,0.0,0.1969,0.0154,1,0.0154
肝肾阴虚证,Gait instability / fall risk,0.1569,0.0,0.1969,0.0154,1,0.0154
肝肾阴虚证,DXA/BMD assessment,0.0,0.0,0.1969,0.0,1,0.0
肝肾阴虚证,T-score,0.0,0.0,0.1969,0.0,1,0.0
肝肾阴虚证,Fracture-risk assessment,0.0546,0.0,0.1969,0.0054,1,0.0054
肝肾阴虚证,Vertebral fracture assessment,0.079,0.0,0.1969,0.0078,1,0.0078
肾虚血瘀证,Osteoporosis,0.1667,0.7468,0.1416,0.0647,0,0.0
肾虚血瘀证,Age-related osteoporosis context,0.2,0.6929,0.1416,0.0632,1,0.0632
肾虚血瘀证,Postmenopausal osteoporosis context,0.1734,0.489,0.1416,0.0469,1,0.0469
肾虚血瘀证,Pregnancy/lactation-associated osteoporosis context,0.1497,0.2491,0.1416,0.0282,1,0.0282
肾虚血瘀证,Fragility fracture,0.0326,0.0,0.1416,0.0023,1,0.0023
肾虚血瘀证,Vertebral fragility fracture,0.0716,0.0,0.1416,0.0051,1,0.0051
肾虚血瘀证,Functional impairment,0.1572,0.0,0.1416,0.0111,1,0.0111
肾虚血瘀证,Gait instability / fall risk,0.1572,0.0,0.1416,0.0111,1,0.0111
肾虚血瘀证,DXA/BMD assessment,0.0,0.0,0.1416,0.0,1,0.0
肾虚血瘀证,T-score,0.0,0.0,0.1416,0.0,1,0.0
肾虚血瘀证,Fracture-risk assessment,0.0439,0.0,0.1416,0.0031,1,0.0031
肾虚血瘀证,Vertebral fracture assessment,0.0561,0.0,0.1416,0.004,1,0.004
肾阳虚证,Osteoporosis,0.1667,0.7351,0.1296,0.0584,0,0.0
肾阳虚证,Age-related osteoporosis context,0.2,0.6474,0.1296,0.0549,1,0.0549
肾阳虚证,Postmenopausal osteoporosis context,0.159,0.5301,0.1296,0.0446,1,0.0446
肾阳虚证,Pregnancy/lactation-associated osteoporosis context,0.1411,0.1923,0.1296,0.0216,1,0.0216
肾阳虚证,Fragility fracture,0.0415,0.0,0.1296,0.0027,1,0.0027
肾阳虚证,Vertebral fragility fracture,0.0847,0.0,0.1296,0.0055,1,0.0055
肾阳虚证,Functional impairment,0.1497,0.0,0.1296,0.0097,1,0.0097
肾阳虚证,Gait instability / fall risk,0.1497,0.0,0.1296,0.0097,1,0.0097
肾阳虚证,DXA/BMD assessment,0.0,0.0,0.1296,0.0,1,0.0
肾阳虚证,T-score,0.0,0.0,0.1296,0.0,1,0.0
肾阳虚证,Fracture-risk assessment,0.0561,0.0,0.1296,0.0036,1,0.0036
肾阳虚证,Vertebral fracture assessment,0.0754,0.0,0.1296,0.0049,1,0.0049
脾肾阳虚证,Osteoporosis,0.1667,0.7234,0.161,0.0717,0,0.0
脾肾阳虚证,Age-related osteoporosis context,0.2,0.7286,0.161,0.0748,1,0.0748
脾肾阳虚证,Postmenopausal osteoporosis context,0.1779,0.5508,0.161,0.0587,1,0.0587
脾肾阳虚证,Pregnancy/lactation-associated osteoporosis context,0.1414,0.0,0.161,0.0114,1,0.0114
脾肾阳虚证,Fragility fracture,0.0,0.0,0.161,0.0,1,0.0
脾肾阳虚证,Vertebral fragility fracture,0.0688,0.0,0.161,0.0055,1,0.0055
脾肾阳虚证,Functional impairment,0.1647,0.0,0.161,0.0133,1,0.0133
脾肾阳虚证,Gait instability / fall risk,0.1647,0.0,0.161,0.0133,1,0.0133
脾肾阳虚证,DXA/BMD assessment,0.0,0.0,0.161,0.0,1,0.0
脾肾阳虚证,T-score,0.0,0.0,0.161,0.0,1,0.0
脾肾阳虚证,Fracture-risk assessment,0.0,0.0,0.161,0.0,1,0.0
脾肾阳虚证,Vertebral fracture assessment,0.0396,0.0,0.161,0.0032,1,0.0032
脾胃虚弱证,Osteoporosis,0.1667,0.7708,0.2028,0.095,0,0.0
脾胃虚弱证,Age-related osteoporosis context,0.2,0.3804,0.2028,0.0588,1,0.0588
脾胃虚弱证,Postmenopausal osteoporosis context,0.1585,0.6831,0.2028,0.0853,1,0.0853
脾胃虚弱证,Pregnancy/lactation-associated osteoporosis context,0.0953,0.3536,0.2028,0.0455,1,0.0455
脾胃虚弱证,Fragility fracture,0.0,0.0,0.2028,0.0,1,0.0
脾胃虚弱证,Vertebral fragility fracture,0.0514,0.0,0.2028,0.0052,1,0.0052
脾胃虚弱证,Functional impairment,0.2093,0.0,0.2028,0.0212,1,0.0212
脾胃虚弱证,Gait instability / fall risk,0.2093,0.0,0.2028,0.0212,1,0.0212
脾胃虚弱证,DXA/BMD assessment,0.0,0.0,0.2028,0.0,1,0.0
脾胃虚弱证,T-score,0.0,0.0,0.2028,0.0,1,0.0
脾胃虚弱证,Fracture-risk assessment,0.0,0.0,0.2028,0.0,1,0.0
脾胃虚弱证,Vertebral fracture assessment,0.0422,0.0,0.2028,0.0043,1,0.0043
血瘀气滞证,Osteoporosis,0.1667,0.3518,0.0501,0.013,0,0.0
血瘀气滞证,Age-related osteoporosis context,0.2,0.1975,0.0501,0.01,1,0.01
血瘀气滞证,Postmenopausal osteoporosis context,0.2208,0.2536,0.0501,0.0119,1,0.0119
血瘀气滞证,Pregnancy/lactation-associated osteoporosis context,0.1982,0.2493,0.0501,0.0112,1,0.0112
血瘀气滞证,Fragility fracture,0.0542,0.0,0.0501,0.0014,1,0.0014
血瘀气滞证,Vertebral fragility fracture,0.1077,0.0,0.0501,0.0027,1,0.0027
血瘀气滞证,Functional impairment,0.104,0.0,0.0501,0.0026,1,0.0026
血瘀气滞证,Gait instability / fall risk,0.104,0.0,0.0501,0.0026,1,0.0026
血瘀气滞证,DXA/BMD assessment,0.0,0.0,0.0501,0.0,1,0.0
血瘀气滞证,T-score,0.0,0.0,0.0501,0.0,1,0.0
血瘀气滞证,Fracture-risk assessment,0.0736,0.0,0.0501,0.0018,1,0.0018
血瘀气滞证,Vertebral fracture assessment,0.0799,0.0,0.0501,0.002,1,0.002
风寒湿痹证,Osteoporosis,0.1667,0.7247,0.0637,0.0284,0,0.0
风寒湿痹证,Age-related osteoporosis context,0.2,0.9942,0.0637,0.038,1,0.038
风寒湿痹证,Postmenopausal osteoporosis context,0.2439,0.345,0.0637,0.0188,1,0.0188
风寒湿痹证,Pregnancy/lactation-associated osteoporosis context,0.1991,0.0619,0.0637,0.0083,1,0.0083
风寒湿痹证,Fragility fracture,0.0,0.0,0.0637,0.0,1,0.0
风寒湿痹证,Vertebral fragility fracture,0.0941,0.0,0.0637,0.003,1,0.003
风寒湿痹证,Functional impairment,0.1765,0.0,0.0637,0.0056,1,0.0056
风寒湿痹证,Gait instability / fall risk,0.1765,0.0,0.0637,0.0056,1,0.0056
风寒湿痹证,DXA/BMD assessment,0.0,0.0,0.0637,0.0,1,0.0
风寒湿痹证,T-score,0.0,0.0,0.0637,0.0,1,0.0
风寒湿痹证,Fracture-risk assessment,0.0,0.0,0.0637,0.0,1,0.0
风寒湿痹证,Vertebral fracture assessment,0.0535,0.0,0.0637,0.0017,1,0.0017
骨折,Osteoporosis,0.1667,0.6835,0.0536,0.0228,0,0.0
骨折,Age-related osteoporosis context,0.2,0.6426,0.0536,0.0226,1,0.0226
骨折,Postmenopausal osteoporosis context,0.2119,0.3742,0.0536,0.0157,1,0.0157
骨折,Pregnancy/lactation-associated osteoporosis context,0.2134,0.3695,0.0536,0.0156,1,0.0156
骨折,Fragility fracture,0.1075,0.0,0.0536,0.0029,1,0.0029
骨折,Vertebral fragility fracture,0.1207,0.0,0.0536,0.0032,1,0.0032
骨折,Functional impairment,0.0748,0.0,0.0536,0.002,1,0.002
骨折,Gait instability / fall risk,0.0748,0.0,0.0536,0.002,1,0.002
骨折,DXA/BMD assessment,0.0,0.0,0.0536,0.0,1,0.0
骨折,T-score,0.0,0.0,0.0536,0.0,1,0.0
骨折,Fracture-risk assessment,0.1486,0.0,0.0536,0.004,1,0.004
骨折,Vertebral fracture assessment,0.1571,0.0,0.0536,0.0042,1,0.0042
骨断,Osteoporosis,0.1667,0.0,0.0229,0.0019,0,0.0
骨断,Age-related osteoporosis context,0.0909,0.0,0.0229,0.001,1,0.001
骨断,Postmenopausal osteoporosis context,0.125,0.0,0.0229,0.0014,1,0.0014
骨断,Pregnancy/lactation-associated osteoporosis context,0.2,0.0,0.0229,0.0023,1,0.0023
骨断,Fragility fracture,1.0,0.0,0.0229,0.0114,1,0.0114
骨断,Vertebral fragility fracture,0.2857,0.0,0.0229,0.0033,1,0.0033
骨断,Functional impairment,0.0,0.0,0.0229,0.0,1,0.0
骨断,Gait instability / fall risk,0.0,0.0,0.0229,0.0,1,0.0
骨断,DXA/BMD assessment,0.0,0.0,0.0229,0.0,1,0.0
骨断,T-score,0.0,0.0,0.0229,0.0,1,0.0
骨断,Fracture-risk assessment,0.5,0.0,0.0229,0.0057,1,0.0057
骨断,Vertebral fracture assessment,0.25,0.0,0.0229,0.0029,1,0.0029
骨极,Osteoporosis,0.1667,0.5076,0.0853,0.0287,0,0.0
骨极,Age-related osteoporosis context,0.2,0.6824,0.0853,0.0376,1,0.0376
骨极,Postmenopausal osteoporosis context,0.1832,0.1961,0.0853,0.0162,1,0.0162
骨极,Pregnancy/lactation-associated osteoporosis context,0.1377,0.1581,0.0853,0.0126,1,0.0126
骨极,Fragility fracture,0.0,0.0,0.0853,0.0,1,0.0
骨极,Vertebral fragility fracture,0.074,0.0,0.0853,0.0032,1,0.0032
骨极,Functional impairment,0.1415,0.0,0.0853,0.006,1,0.006
骨极,Gait instability / fall risk,0.1415,0.0,0.0853,0.006,1,0.006
骨极,DXA/BMD assessment,0.0,0.0,0.0853,0.0,1,0.0
骨极,T-score,0.0,0.0,0.0853,0.0,1,0.0
骨极,Fracture-risk assessment,0.0,0.0,0.0853,0.0,1,0.0
骨极,Vertebral fracture assessment,0.0528,0.0,0.0853,0.0023,1,0.0023
骨枯,Osteoporosis,0.1667,0.743,0.1807,0.0822,0,0.0
骨枯,Age-related osteoporosis context,0.2,0.6093,0.1807,0.0731,1,0.0731
骨枯,Postmenopausal osteoporosis context,0.1721,0.4974,0.1807,0.0605,1,0.0605
骨枯,Pregnancy/lactation-associated osteoporosis context,0.147,0.3374,0.1807,0.0438,1,0.0438
骨枯,Fragility fracture,0.0319,0.0,0.1807,0.0029,1,0.0029
骨枯,Vertebral fragility fracture,0.0741,0.0,0.1807,0.0067,1,0.0067
骨枯,Functional impairment,0.1642,0.0,0.1807,0.0148,1,0.0148
骨枯,Gait instability / fall risk,0.1642,0.0,0.1807,0.0148,1,0.0148
骨枯,DXA/BMD assessment,0.0,0.0,0.1807,0.0,1,0.0
骨枯,T-score,0.0,0.0,0.1807,0.0,1,0.0
骨枯,Fracture-risk assessment,0.043,0.0,0.1807,0.0039,1,0.0039
骨枯,Vertebral fracture assessment,0.0644,0.0,0.1807,0.0058,1,0.0058
骨疏,Osteoporosis,0.1667,0.5951,0.1279,0.0487,0,0.0
骨疏,Age-related osteoporosis context,0.2,0.8927,0.1279,0.0699,1,0.0699
骨疏,Postmenopausal osteoporosis context,0.125,0.2565,0.1279,0.0244,1,0.0244
骨疏,Pregnancy/lactation-associated osteoporosis context,0.0,0.0,0.1279,0.0,1,0.0
