source_id,source_type,source,relation,target_id,target_type,target,support,n_books,lift,confidence,example_rows,bridge_basis,n_t,Rbar_t,b_t,D_t,S_t,B_t,TEC_t,edge_class,evidence_tier,mapping_basis,phenotype_score,population_score,mapping_score,evidence_count,source_count,dynasty_count,mapping_status,mapping_version,G_diagnostic_gate,CMS_exact
中医病名::骨痿,中医病名,骨痿,表现为,症状体征::活动受限,症状体征,活动受限,1314,267,,,52;53;54;56;63;64;69;70,,400.0,0.99225,86.0,0.5752455995591289,1.0,0.8877772051739009,0.8146447926654494,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,辨为,证型::肝肾阴虚证,证型,肝肾阴虚证,876,186,,,12;69;70;92;94;96;125;129,,400.0,0.9975,70.0,0.5805492786630557,1.0,0.8473774935008833,0.8072856517445097,evidence,E4,,,,,,,,,,,
证型::肝肾阴虚证,证型,肝肾阴虚证,主要症状,症状体征::活动受限,症状体征,活动受限,813,193,,,46;69;70;92;94;96;118;123,,400.0,0.9845,81.0,0.6317690799487101,1.0,0.876011058306523,0.8229698487040924,evidence,E4,,,,,,,,,,,
中医病名::骨枯,中医病名,骨枯,辨为,证型::肝肾阴虚证,证型,肝肾阴虚证,714,152,,,70;94;96;132;134;166;176;184,,400.0,0.9932500000000001,72.0,0.6558569704364614,1.0,0.8528997888837446,0.830607550398265,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,治以,治法::中药内服,治法,中药内服,698,202,,,52;53;58;60;63;64;65;88,,400.0,0.985,114.0,0.6201697255956524,1.0,0.9432443462198304,0.84165428691275,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,表现为,症状体征::乏力,症状体征,乏力,668,190,,,50;52;70;92;125;129;159;169,,400.0,0.9795,101.0,0.6514468308792257,1.0,0.9193976519650736,0.8393807236486637,evidence,E4,,,,,,,,,,,
中医病名::骨枯,中医病名,骨枯,表现为,症状体征::活动受限,症状体征,活动受限,595,118,,,70;94;96;132;133;134;166;187,,400.0,0.9902500000000001,77.0,0.6990051294908569,1.0,0.8660694943003384,0.8466883820697437,evidence,E4,,,,,,,,,,,
证型::肾阳虚证,证型,肾阳虚证,主要症状,症状体征::活动受限,症状体征,活动受限,543,168,,,52;53;64;74;81;160;170;183,,400.0,0.5685,111.0,0.7567232270872143,1.0,0.937989683011336,0.5106480964636751,evidence,E4,,,,,,,,,,,
中医病名::骨痹,中医病名,骨痹,表现为,症状体征::骨痛,症状体征,骨痛,502,137,,,81;192;203;219;251;268;270;283,,400.0,0.2635,100.0,0.7653148329741323,1.0,0.9174391154326749,0.23563522180173124,evidence,E4,,,,,,,,,,,
中医病名::骨痹,中医病名,骨痹,表现为,症状体征::活动受限,症状体征,活动受限,455,129,,,81;192;203;219;253;268;269;283,,400.0,0.2525,103.0,0.7702882714368771,1.0,0.9232577703405583,0.2267067918496008,evidence,E4,,,,,,,,,,,
证型::肾阳虚证,证型,肾阳虚证,主要症状,症状体征::骨痛,症状体征,骨痛,434,135,,,81;147;155;183;203;251;267;270,,400.0,0.43075,118.0,0.7641983657624685,1.0,0.9500412424906058,0.38971957041833727,evidence,E4,,,,,,,,,,,
中医病名::骨痹,中医病名,骨痹,辨为,证型::肾阳虚证,证型,肾阳虚证,420,118,,,57;81;197;203;251;253;270;330,,400.0,0.25125,106.0,0.7281957092334569,1.0,0.9289109432382097,0.22253268214450206,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,辨为,证型::肾阳虚证,证型,肾阳虚证,390,140,,,2;52;53;58;60;64;65;88,,390.0,0.9851282051282051,140.0,0.7577101705768317,0.9957867818090795,0.9837632364635844,0.8988507389367317,evidence,E4,,,,,,,,,,,
证型::肝肾阴虚证,证型,肝肾阴虚证,治以,治法::中药内服,治法,中药内服,383,152,,,92;94;118;125;129;132;134;164,,383.0,0.9255874673629243,152.0,0.6058027500770291,0.992772913999497,1.0,0.8017363558878402,evidence,E4,,,,,,,,,,,
人群::情志异常,人群,情志异常,易患,中医病名::骨痿,中医病名,骨痿,376,125,,,56;70;129;132;133;172;175;204,,376.0,0.976063829787234,125.0,0.6952871720251518,0.9897035974276713,0.9614037550060424,0.8610166582237619,evidence,E4,,,,,,,,,,,
证型::肝肾阴虚证,证型,肝肾阴虚证,主要症状,症状体征::乏力,症状体征,乏力,358,128,,,70;92;118;123;125;129;172;174,,358.0,0.9662011173184357,128.0,0.6020008557968571,0.9815415831149239,0.9660813790574452,0.821149793887854,evidence,E4,,,,,,,,,,,
古籍::古今图书集成医部全录,古籍,古今图书集成医部全录,属于朝代,朝代::清,朝代,清,306,0,,,,,,,,,,,,structural,,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,表现为,症状体征::骨痛,症状体征,骨痛,282,131,,,49;50;66;70;129;132;133;134,,282.0,0.9684397163120568,131.0,0.6766024128738839,0.941855726986228,0.9706514619376917,0.8357988560886289,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,辨为,证型::肾虚血瘀证,证型,肾虚血瘀证,276,102,,,50;54;66;106;133;161;163;165,,276.0,0.9768115942028986,102.0,0.7178603325408721,0.9382805635962412,0.9213370805193702,0.8392367904668937,evidence,E4,,,,,,,,,,,
证型::肾阳虚证,证型,肾阳虚证,治以,治法::中药内服,治法,中药内服,262,122,,,16;52;53;57;58;60;64;65,,262.0,0.6809160305343511,122.0,0.7238748667129192,0.9296279430149175,0.9566134063414492,0.5924233243597462,evidence,E4,,,,,,,,,,,
人群::情志异常,人群,情志异常,多见证型,证型::肝肾阴虚证,证型,肝肾阴虚证,262,104,,,70;129;132;172;175;201;204;208,,262.0,0.9225190839694656,104.0,0.6632152990880738,0.9296279430149175,0.9251600800729686,0.7743020394019459,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,表现为,症状体征::腰背痛,症状体征,腰背痛,256,118,,,49;52;54;56;70;88;129;132,,256.0,0.983203125,118.0,0.6693514737219813,0.9257777435162339,0.9500412424906058,0.8341398498876877,evidence,E4,,,,,,,,,,,
中医病名::骨枯,中医病名,骨枯,表现为,症状体征::乏力,症状体征,乏力,248,75,,,70;184;214;220;291;312;320;339,,248.0,0.9814516129032258,75.0,0.6209835916055205,0.920501902352751,0.8609058312536686,0.7859436136513255,evidence,E4,,,,,,,,,,,
中医病名::骨痿,中医病名,骨痿,表现为,症状体征::步态不稳,症状体征,步态不稳,238,91,,,52;125;205;229;230;248;291;309,,238.0,0.9966386554621848,91.0,0.6469079255367503,0.9136634625278862,0.8988856731179778,0.8170633262080056,evidence,E4,,,,,,,,,,,
证型::肾阳虚证,证型,肾阳虚证,主要症状,症状体征::乏力,症状体征,乏力,236,92,,,52;221;223;238;267;308;311;318,,236.0,0.8283898305084746,92.0,0.7399331769783878,0.9122614830693437,0.9010347735090674,0.7050230992377883,evidence,E4,,,,,,,,,,,
证型::肾虚血瘀证,证型,肾虚血瘀证,主要症状,症状体征::活动受限,症状体征,活动受限,235,101,,,54;106;124;133;161;163;165;168,,235.0,0.8080851063829787,101.0,0.6859231357292518,0.9115560504166981,0.9193976519650736,0.6779502291592672,evidence,E4,,,,,,,,,,,
中医病名::骨枯,中医病名,骨枯,治以,治法::中药内服,治法,中药内服,213,87,,,94;132;133;134;166;176;186;214,,213.0,0.9802816901408451,87.0,0.6481596604627818,0.8952303213991639,0.8900491139027655,0.7951519298836803,evidence,E4,,,,,,,,,,,
