node_id,type,name,n_passages,degree,weighted_degree,betweenness,community,year,dynasty,drug_category,meridian,source,indication,anchor_category,anchor_name_zh
中医病名::骨痿,中医病名,骨痿,895.0,896,158.016,0.29826,,,,,,,,,
中医病名::骨枯,中医病名,骨枯,417.0,418,75.425,0.08173,,,,,,,,,
中医病名::骨痹,中医病名,骨痹,422.0,423,17.78,0.08668,,,,,,,,,
中医病名::骨空,中医病名,骨空,299.0,300,50.297,0.06101,,,,,,,,,
中医病名::骨极,中医病名,骨极,233.0,234,19.896,0.02655,,,,,,,,,
中医病名::骨虚,中医病名,骨虚,151.0,152,14.827,0.00852,,,,,,,,,
中医病名::骨折,中医病名,骨折,190.0,191,8.592,0.03839,,,,,,,,,
中医病名::骨蚀,中医病名,骨蚀,53.0,54,7.028,0.00125,,,,,,,,,
中医病名::骨断,中医病名,骨断,43.0,44,0.985,0.00166,,,,,,,,,
中医病名::骨缩,中医病名,骨缩,17.0,18,1.97,0.0003,,,,,,,,,
中医病名::骨疏,中医病名,骨疏,10.0,11,1.328,0.00182,,,,,,,,,
中药::牛膝,中药,牛膝,132.0,141,34.876,0.00743,C1,,,补肾壮骨药,,,,,
中药::杜仲,中药,杜仲,106.0,116,28.552,0.00409,C2,,,补肾壮骨药,,,,,
中药::当归,中药,当归,108.0,114,25.201,0.00363,C0,,,活血化瘀药,,,,,
中药::熟地黄,中药,熟地黄,93.0,99,25.98,0.00249,C5,,,补虚药,,,,,
中药::生地黄,中药,生地黄,80.0,85,17.072,0.0024,C0,,,清热药,,,,,
中药::虎骨,中药,虎骨,81.0,83,14.578,0.00134,C1,,,补肾壮骨药,,,,,
中药::肉苁蓉,中药,肉苁蓉,64.0,67,16.867,0.00069,C2,,,补虚药,,,,,
中药::鹿茸,中药,鹿茸,75.0,78,17.033,0.00355,C4,,,补虚药,,,,,
中药::茯苓,中药,茯苓,70.0,79,23.965,0.002,C3,,,理气药,,,,,
中药::骨碎补,中药,骨碎补,49.0,50,8.859,0.00246,C2,,,补肾壮骨药,,,,,
中药::山药,中药,山药,57.0,63,18.612,0.00079,C3,,,补虚药,,,,,
中药::五味子,中药,五味子,66.0,70,17.822,0.00118,C4,,,收涩药,,,,,
中药::黄柏,中药,黄柏,47.0,55,16.444,0.00108,C3,,,清热药,,,,,
